dataset,arch,seed,remove_dom,debias,compression_rate,nb_dims_pca,disable_dp,sigma,max_per_sample_grad_norm,epoch,step,loss
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,239,0.47646546363830566
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,240,0.45904701948165894
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,241,0.46129313111305237
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,242,0.409814715385437
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,243,0.43523848056793213
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,244,0.5102251768112183
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,245,0.4314790368080139
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,246,0.3709421753883362
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,247,0.38261687755584717
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,248,0.3675217628479004
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,249,0.4113221764564514
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,250,0.38508152961730957
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,251,0.3712039291858673
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,252,0.46446695923805237
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,253,0.4177168309688568
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,254,0.4056917726993561
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,255,0.38206908106803894
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,256,0.3525169789791107
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,257,0.43204790353775024
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,258,0.42151403427124023
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,259,0.43951520323753357
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,260,0.37696558237075806
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,261,0.4578409790992737
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,262,0.42221978306770325
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,263,0.4320206344127655
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,264,0.4126589894294739
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,265,0.4010831415653229
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,266,0.30547255277633667
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,267,0.38382861018180847
